KNN Neigbors,N Neighbors,Accuracy
,3,0.9
,4,0.91
,5,0.92
,6,0.92
,,
,,
Gradient Boosting,Learning Rate,Accuracy
,0.05,0.983
,0.1,0.983
,0.25,0.983
,0.5,0.9794
,0.75,0.981
,1,0.978
,,
Decision Tree,Type,Accuracy
,Gini Impurity Max Depth 3,0.987
,Max Depth 3,0.989
,No Max Depth,0.985
,,
,,
Logistic Regression,Cs,Accuracy
,0.1,0.826
,1,0.962
,100,0.982
,300,0.983
